Date,Ticker,open,high,low,close,adj_close,volume,return_1d,log_return_1d,amount
2019-01-02,ZS=F,881.5,897.75,880.75,894.75,894.75,8393.0,,,7509636.75
2019-01-03,ZS=F,893.5,900.75,892.25,900.25,900.25,5149.0,0.006146968426934851,0.006128152882849847,4635387.25
2019-01-04,ZS=F,898.25,910.0,898.25,909.5,909.5,6571.0,0.010274923632324295,0.010222495429191625,5976324.5
2019-01-07,ZS=F,909.5,915.75,909.5,912.25,912.25,4350.0,0.0030236393622868896,0.003019077358380251,3968287.5
2019-01-08,ZS=F,911.75,912.5,903.0,906.25,906.25,3286.0,-0.006577144423129622,-0.0065988691476723815,2977937.5
2019-01-09,ZS=F,905.5,913.75,905.25,911.5,911.5,2759.0,0.0057931034482758825,0.0057763879498331505,2514828.5
2019-01-10,ZS=F,908.0,911.25,895.0,895.5,895.5,1094.0,-0.017553483269336256,-0.01770937261795069,979677.0
2019-01-11,ZS=F,897.25,901.25,897.25,899.25,899.25,287.0,0.0041876046901172526,0.004178861074966456,258084.75
2019-01-14,ZS=F,895.25,895.25,890.75,890.75,890.75,75988.0,-0.009452321378926931,-0.009497278089788175,67686311.0
2019-01-15,ZS=F,904.25,908.0,892.5,893.25,893.25,107769.0,0.002806623631770977,0.0028026924175739154,96264659.25
2019-01-16,ZS=F,895.5,900.0,891.25,894.5,894.5,87043.0,0.0013993842709207893,0.0013984060452552072,77859963.5
2019-01-17,ZS=F,895.5,912.0,894.25,907.75,907.75,103132.0,0.014812744550027901,0.01470410734567107,93618073.0
2019-01-18,ZS=F,908.25,920.25,905.75,916.75,916.75,112894.0,0.009914624070503919,0.009865796656989723,103495574.5
2019-01-21,ZS=F,908.25,920.25,905.75,916.75,916.75,0.0,0.0,0.0,0.0
2019-01-22,ZS=F,916.5,919.5,899.5,909.25,909.25,126766.0,-0.008181074447777492,-0.008214723084337017,115261985.5
2019-01-23,ZS=F,911.0,918.25,910.5,915.0,915.0,72124.0,0.006323893318669338,0.006303981408422921,65993460.0
2019-01-24,ZS=F,915.0,919.5,909.25,916.0,916.0,85832.0,0.0010928961748633004,0.001092299398608887,78622112.0
2019-01-25,ZS=F,915.75,926.25,913.0,925.25,925.25,103755.0,0.01009825327510927,0.010047606592135772,95999313.75
2019-01-28,ZS=F,923.5,925.0,915.75,923.25,923.25,69622.0,-0.0021615779519048584,-0.0021639175335934624,64278511.5
2019-01-29,ZS=F,921.75,922.25,916.75,919.0,919.0,86953.0,-0.00460330354725158,-0.004613931376985292,79909807.0
2019-01-30,ZS=F,919.0,924.0,917.25,921.0,921.0,68239.0,0.0021762785636560977,0.0021739138996199614,62848119.0
2019-01-31,ZS=F,919.5,926.75,913.25,915.25,915.25,98081.0,-0.006243213897937028,-0.0062627842549609625,89768635.25
2019-02-01,ZS=F,921.0,931.25,917.0,917.75,917.75,168136.0,0.0027314941272875704,0.0027277703765982153,154306814.0
2019-02-04,ZS=F,917.0,923.75,915.5,918.5,918.5,76590.0,0.0008172160174340082,0.0008168822782366192,70347915.0
2019-02-05,ZS=F,917.75,921.0,913.5,920.25,920.25,83109.0,0.0019052803483941005,0.001903467603949771,76481057.25
2019-02-06,ZS=F,920.0,922.5,917.5,921.75,921.75,98810.0,0.0016299918500406463,0.0016286648551231409,91078117.5
2019-02-07,ZS=F,919.5,921.5,910.5,913.25,913.25,120903.0,-0.009221589368049954,-0.00926437143886183,110414664.75
2019-02-08,ZS=F,913.0,918.0,908.0,914.5,914.5,134648.0,0.0013687380235423152,0.0013678021555287856,123135596.0
2019-02-11,ZS=F,914.75,918.75,903.5,905.0,905.0,124095.0,-0.010388190267905939,-0.01044252413099489,112305975.0
2019-02-12,ZS=F,905.5,919.75,905.5,917.5,917.5,126536.0,0.013812154696132506,0.013717636228800067,116096780.0
2019-02-13,ZS=F,916.75,920.0,913.75,916.5,916.5,87709.0,-0.0010899182561308063,-0.001090512648966424,80385298.5
2019-02-14,ZS=F,915.75,918.25,903.0,903.5,903.5,111538.0,-0.014184397163120588,-0.014285957247476055,100774583.0
2019-02-15,ZS=F,905.25,909.75,901.25,907.5,907.5,113607.0,0.004427227448810189,0.004417456106722284,103098352.5
2019-02-18,ZS=F,905.25,909.75,901.25,907.5,907.5,0.0,0.0,0.0,0.0
2019-02-19,ZS=F,907.25,911.25,894.75,900.75,900.75,119260.0,-0.007438016528925617,-0.007465816510802803,107423445.0
2019-02-20,ZS=F,902.0,905.0,893.25,902.5,902.5,132174.0,0.0019428254232582987,0.0019409405788328726,119287035.0
2019-02-21,ZS=F,902.75,916.75,900.0,911.0,911.0,169207.0,0.009418282548476542,0.009374207052922578,154147577.0
2019-02-22,ZS=F,910.25,914.75,907.5,910.25,910.25,127436.0,-0.0008232711306256357,-0.0008236102044154592,115998619.0
2019-02-25,ZS=F,918.0,921.0,910.25,911.75,911.75,108509.0,0.001647898928865743,0.001646542633246817,98933080.75
2019-02-26,ZS=F,910.0,910.75,899.0,903.75,903.75,88696.0,-0.008774335069920536,-0.008813056215815074,80159010.0
2019-02-27,ZS=F,903.0,910.0,900.75,903.5,903.5,69356.0,-0.0002766251728907321,-0.00027666344069121607,62663146.0
2019-02-28,ZS=F,903.0,905.25,897.0,897.5,897.5,13006.0,-0.006640841173215284,-0.006662989669849573,11672885.0
2019-03-01,ZS=F,897.25,905.0,888.25,899.25,899.25,8373.0,0.001949860724234087,0.0019479622132996255,7529420.25
2019-03-04,ZS=F,901.25,912.25,901.25,903.25,903.25,4165.0,0.0044481512371421505,0.004438287452016354,3762036.25
2019-03-05,ZS=F,904.75,904.75,896.75,901.25,901.25,3339.0,-0.002214226404649855,-0.002216681428590661,3009273.75
2019-03-06,ZS=F,900.5,903.5,889.5,889.75,889.75,2100.0,-0.01276005547850212,-0.012842164208857199,1868475.0
2019-03-07,ZS=F,892.0,893.75,887.0,890.75,890.75,2606.0,0.0011239112110144056,0.0011232800956433309,2321294.5
2019-03-08,ZS=F,891.0,891.5,880.0,883.75,883.75,1275.0,-0.007858546168958758,-0.007889587275162313,1126781.25
2019-03-11,ZS=F,884.5,884.5,877.75,877.75,877.75,436.0,-0.006789250353606779,-0.006812402162241327,382699.0
2019-03-12,ZS=F,880.5,885.0,880.25,884.75,884.75,237.0,0.007974935915693537,0.007943304177031152,209685.75
2019-03-13,ZS=F,882.75,889.25,882.5,889.0,889.0,215.0,0.00480361684091557,0.004792116288331982,191135.0
2019-03-14,ZS=F,889.5,889.5,889.5,889.5,889.5,87983.0,0.0005624296962880582,0.0005622715919848531,78260878.5
2019-03-15,ZS=F,899.25,911.0,898.25,909.25,909.25,97847.0,0.02220348510399095,0.02196057676120855,88967384.75
2019-03-18,ZS=F,910.0,911.5,901.75,905.75,905.75,68441.0,-0.003849326367885597,-0.0038567540919114407,61990435.75
2019-03-19,ZS=F,905.5,909.5,900.25,904.0,904.0,78731.0,-0.0019321004692244292,-0.001933969383010492,71172824.0
2019-03-20,ZS=F,902.75,906.5,899.25,906.0,906.0,73221.0,0.0022123893805310324,0.0022099456508035686,66338226.0
2019-03-21,ZS=F,906.0,912.0,903.5,910.5,910.5,79287.0,0.004966887417218624,0.004954593124683271,72190813.5
2019-03-22,ZS=F,909.75,912.0,903.0,903.75,903.75,91931.0,-0.007413509060955503,-0.007441125694688466,83082641.25
2019-03-25,ZS=F,904.5,908.25,901.5,906.5,906.5,62221.0,0.003042876901798053,0.003038256721930921,56403336.5
2019-03-26,ZS=F,905.5,907.5,899.5,900.75,900.75,64159.0,-0.006343077771649219,-0.006363280566702656,57791219.25
2019-03-27,ZS=F,900.25,900.75,886.0,887.5,887.5,108413.0,-0.014709963918956404,-0.014819228278631691,96216537.5
2019-03-28,ZS=F,888.0,891.75,886.5,889.5,889.5,71399.0,0.0022535211267604716,0.0022509857563184354,63509410.5
2019-03-29,ZS=F,888.75,892.75,883.0,884.25,884.25,96062.0,-0.00590219224283306,-0.005919679020299107,84942823.5
2019-04-01,ZS=F,884.0,899.0,883.75,895.5,895.5,116288.0,0.012722646310432628,0.012642393415176478,104135904.0
2019-04-02,ZS=F,895.75,901.25,892.5,900.0,900.0,78593.0,0.005025125628140614,0.005012541823544048,70733700.0
2019-04-03,ZS=F,899.25,903.0,894.75,898.75,898.75,63617.0,-0.001388888888888884,-0.0013898542890542487,57175778.75
2019-04-04,ZS=F,898.25,907.25,897.0,906.5,906.5,112219.0,0.008623087621696834,0.00858612115964874,101726523.5
2019-04-05,ZS=F,904.5,904.75,896.25,899.0,899.0,102769.0,-0.008273579702151146,-0.008307995723285444,92389331.0
2019-04-08,ZS=F,899.0,903.5,898.0,898.75,898.75,113476.0,-0.0002780867630700623,-0.0002781254363632968,101986555.0
2019-04-09,ZS=F,898.25,902.25,894.75,898.75,898.75,95488.0,0.0,0.0,85819840.0
2019-04-10,ZS=F,898.75,903.75,897.25,902.0,902.0,110699.0,0.003616133518776099,0.003609611027367343,99850498.0
2019-04-11,ZS=F,901.25,904.0,893.5,895.25,895.25,98642.0,-0.007483370288248303,-0.007511511184081776,88309250.5
2019-04-12,ZS=F,895.0,898.5,893.75,895.25,895.25,82118.0,0.0,0.0,73516139.5
2019-04-15,ZS=F,895.0,902.0,894.75,898.75,898.75,105410.0,0.0039095224797542905,0.003901900156714433,94737237.5
2019-04-16,ZS=F,898.25,899.0,886.25,888.0,888.0,115185.0,-0.011961057023643917,-0.012033166043086574,102284280.0
2019-04-17,ZS=F,887.75,890.5,878.5,879.0,879.0,105530.0,-0.010135135135135087,-0.01018684530699332,92760870.0
2019-04-18,ZS=F,878.75,882.0,876.5,880.5,880.5,77262.0,0.0017064846416381396,0.0017050302510837057,68029191.0
2019-04-19,ZS=F,878.75,882.0,876.5,880.5,880.5,0.0,0.0,0.0,0.0
2019-04-22,ZS=F,881.5,883.25,876.25,877.0,877.0,80529.0,-0.003975014196479276,-0.003982935564077472,70623933.0
2019-04-23,ZS=F,877.0,878.75,860.75,862.0,862.0,168391.0,-0.01710376282782211,-0.01725172170849021,145153042.0
2019-04-24,ZS=F,862.0,865.25,854.5,855.25,855.25,87642.0,-0.007830626450116007,-0.007861446805979,74955820.5
2019-04-25,ZS=F,854.75,862.75,853.5,859.25,859.25,124152.0,0.004676995030692854,0.004666091872229217,106677606.0
2019-04-26,ZS=F,858.5,859.75,852.5,853.75,853.75,142904.0,-0.0064009310445155565,-0.006421504844943193,122004290.0
2019-04-29,ZS=F,854.75,859.5,847.25,847.5,847.5,81581.0,-0.007320644216691097,-0.007347571630394789,69139897.5
2019-04-30,ZS=F,848.0,851.0,838.5,841.25,841.25,11508.0,-0.007374631268436627,-0.007401958295667477,9681105.0
2019-05-01,ZS=F,841.0,843.0,831.75,839.5,839.5,9763.0,-0.002080237741456159,-0.0020824044413423337,8196038.5
2019-05-02,ZS=F,840.0,840.5,829.75,830.5,830.5,5556.0,-0.010720667063728428,-0.010778547464245669,4614258.0
2019-05-03,ZS=F,830.5,832.75,828.75,829.5,829.5,3485.0,-0.0012040939193257438,-0.0012048194228500009,2890807.5
2019-05-06,ZS=F,816.5,819.75,804.5,817.5,817.5,2686.0,-0.01446654611211573,-0.014572206859090997,2195805.0
