Date,Ticker,open,high,low,close,adj_close,volume,return_1d,log_return_1d,amount
2019-01-02,HON,122.70499420166016,124.49575805664062,122.0546646118164,124.2507095336914,106.92843627929688,2924116.0,,,363323487.7588196
2019-01-03,HON,124.50518035888672,125.33458709716795,121.64938354492188,122.5918960571289,105.50088500976562,3378224.0,-0.013350535242719896,-0.013440454851742167,414142885.46569824
2019-01-04,HON,124.99528503417967,127.27615356445312,124.45806121826172,126.88030242919922,109.19142150878906,3802200.0,0.03498115707478644,0.03438322082676226,482424285.89630127
2019-01-07,HON,126.61640167236328,128.1809539794922,125.49481964111328,127.5871810913086,109.79974365234376,3124221.0,0.00557122459968773,0.005555762729037461,398610550.4962692
2019-01-08,HON,128.23751831054688,129.01036071777344,126.59754943847656,127.32328033447266,109.57264709472656,2796902.0,-0.002068395543961987,-0.0020705376283203236,356110737.41404724
2019-01-09,HON,128.3694610595703,128.87841796875,127.30442810058594,127.91706085205078,110.08364868164062,2114467.0,0.00466356597173978,0.004652725239201239,270476403.90865326
2019-01-10,HON,127.44580841064452,130.00942993164062,126.92742919921876,129.83035278320312,111.73018646240234,2280832.0,0.014957284965805062,0.014846527830671974,296121223.19921875
2019-01-11,HON,128.88784790039062,129.83035278320312,128.5673828125,129.4627685546875,111.4138641357422,2005714.0,-0.0028312657297437926,-0.002835281343864793,259665287.36889648
2019-01-14,HON,128.5014190673828,130.1036834716797,128.162109375,129.69839477539062,111.61663055419922,3289737.0,0.00182003075736481,0.0018183765082708803,426673608.1332092
2019-01-15,HON,129.52874755859375,130.2073516845703,128.68991088867188,129.8491973876953,111.74639892578124,1954256.0,0.0011627176463198108,0.0011620422136653374,253758573.0900879
2019-01-16,HON,129.6135711669922,130.72572326660156,129.35910034179688,130.08482360839844,111.94920349121094,2384385.0,0.001814614379167967,0.0018129699555240464,310172302.1395111
2019-01-17,HON,129.4156494140625,132.54476928710938,129.30255126953125,131.837890625,113.45784759521484,2734621.0,0.013476337730824905,0.013386339553823845,360526664.2988281
2019-01-18,HON,133.62864685058594,134.31668090820312,132.29029846191406,133.6946258544922,115.0557098388672,5752318.0,0.014083471911527257,0.013985221220307764,769054002.8060608
2019-01-21,HON,133.62864685058594,134.31668090820312,132.29029846191406,133.6946258544922,115.0557098388672,0.0,0.0,0.0,0.0
2019-01-22,HON,132.8557891845703,133.0348663330078,130.72572326660156,131.78134155273438,113.40918731689452,3391487.0,-0.014310854228652081,-0.014414242067275929,446934706.71865845
2019-01-23,HON,132.72384643554688,133.1668243408203,131.2252655029297,132.6484375,114.15541076660156,3147244.0,0.006579808165928069,0.006558255717172834,417476999.03125
2019-01-24,HON,132.78982543945312,133.83599853515625,132.38453674316406,133.06314086914062,114.5123062133789,2872339.0,0.003126334368926287,0.003121457547372586,382202448.9809265
2019-01-25,HON,134.3072509765625,134.49575805664062,133.2893524169922,133.56268310546875,114.94217681884766,3401884.0,0.0037541743946911676,0.0037471450693811192,454364754.65356445
2019-01-28,HON,132.26202392578125,132.69557189941406,130.88595581054688,132.4033966064453,113.94451141357422,3690476.0,-0.00867971855662708,-0.008717606712071557,488631557.4945679
2019-01-29,HON,132.7521209716797,134.033935546875,132.4222412109375,133.59095764160156,114.96648406982422,2572395.0,0.008969264124591536,0.00892927918757458,343648711.48246765
2019-01-30,HON,134.26956176757812,135.4853973388672,132.83694458007812,135.04241943359375,116.21561431884766,3302681.0,0.010864970336436741,0.010806370620253247,446002032.85736084
2019-01-31,HON,134.5900115966797,135.77757263183594,134.07162475585938,135.37228393554688,116.4995346069336,3685490.0,0.002442673223248537,0.0024396947463216634,498913198.72161865
2019-02-01,HON,140.1508026123047,140.4335479736328,136.04147338867188,136.39019775390625,117.3755111694336,5874227.0,0.007519366511124392,0.007491236997501538,801186982.1813354
2019-02-04,HON,136.1734161376953,139.50047302246094,136.13572692871094,139.42506408691406,119.98726654052734,4979061.0,0.022251352245149736,0.02200740307431026,694205899.0176544
2019-02-05,HON,139.8680419921875,140.14137268066406,138.93496704101562,140.14137268066406,120.60372924804688,3143425.0,0.005137588413109739,0.005124436034197544,440523894.41871643
2019-02-06,HON,140.42413330078125,140.8953857421875,139.76437377929688,140.3393096923828,120.77406311035156,3339179.0,0.0014124095399705716,0.0014114130278279902,468618075.79930115
2019-02-07,HON,139.18002319335938,140.3393096923828,138.78416442871094,139.63241577148438,120.1657257080078,3142364.0,-0.005037034330922063,-0.0050497629493291285,438775876.5533447
2019-02-08,HON,139.47219848632812,140.09425354003906,138.7276153564453,140.06597900390625,120.53883361816406,4193178.0,0.0031050328108011005,0.0031002221520193274,587321581.7076416
2019-02-11,HON,140.42413330078125,140.7351531982422,139.53817749023438,139.94345092773438,120.4333953857422,3159340.0,-0.0008747882750917979,-0.0008751711256467232,442128942.2540283
2019-02-12,HON,140.62205505371094,141.8567352294922,140.39585876464844,141.71536254882812,121.95823669433594,2816849.0,0.012661625887793404,0.012582137765426715,399190777.28030396
2019-02-13,HON,142.30914306640625,143.9019775390625,142.0169677734375,142.77096557617188,122.86669921875,2928042.0,0.007448755084545233,0.007421150105454188,418039383.58758545
2019-02-14,HON,142.25259399414062,142.92176818847656,141.33836364746094,141.8661651611328,122.08804321289062,2239453.0,-0.006337425900200477,-0.006357592632317832,317702609.16859436
2019-02-15,HON,143.26107788085938,144.50518798828125,142.87464904785156,144.50518798828125,124.35914611816406,3224803.0,0.018602200349540743,0.018431295636406553,466000763.74017334
2019-02-18,HON,143.26107788085938,144.50518798828125,142.87464904785156,144.50518798828125,124.35914611816406,0.0,0.0,0.0,0.0
2019-02-19,HON,143.83599853515625,144.91046142578125,143.62864685058594,144.4674835205078,124.32669830322266,2630856.0,-0.00026092120496390425,-0.0002609552508241464,380073145.8248291
2019-02-20,HON,144.5146026611328,145.9377899169922,144.2130126953125,145.6927490234375,125.38119506835938,2782366.0,0.008481254556882645,0.008445490789586785,405370551.3293457
2019-02-21,HON,144.71253967285156,144.91046142578125,143.3364715576172,143.83599853515625,124.44337463378906,2871384.0,-0.012744288928082215,-0.01282619400362961,413008384.8178711
2019-02-22,HON,144.439208984375,144.7690887451172,143.61923217773438,144.39208984375,124.92453002929688,3043479.0,0.0038661483512962835,0.003858694006649621,439454293.2055664
2019-02-25,HON,145.3345947265625,145.7869873046875,144.89161682128906,145.20263671875,125.62580108642578,2453563.0,0.005613513010838123,0.005597815963001018,356263816.9555664
2019-02-26,HON,145.04241943359375,145.90951538085938,144.78793334960938,145.07069396972656,125.51163482666016,2107464.0,-0.0009086801176965142,-0.0009090932177446831,305731264.9962158
2019-02-27,HON,145.01414489746094,145.84353637695312,144.3072509765625,145.7115936279297,126.06608581542967,1858235.0,0.004417843746834738,0.004408113721777518,270766383.1851959
