Date,Ticker,open,high,low,close,adj_close,volume,return_1d,log_return_1d,amount
2019-01-02,LMT,258.3599853515625,265.29998779296875,256.7900085449219,264.7300109863281,218.1609649658203,1064700.0,,,281858042.69714355
2019-01-03,LMT,262.32000732421875,264.0,257.3800048828125,258.0799865722656,212.68077087402344,1165600.0,-0.02512002469718455,-0.025440917815516606,300818032.3486328
2019-01-04,LMT,261.9200134277344,265.489990234375,260.3399963378906,265.0400085449219,218.4164581298828,1443800.0,0.026968468439172666,0.026611227884213662,382664764.3371582
2019-01-07,LMT,266.0,270.0,263.8599853515625,268.0799865722656,220.9216766357422,1465200.0,0.011469883524503732,0.01140460310875735,392790796.3256836
2019-01-08,LMT,271.1300048828125,271.75,267.8099975585937,269.8699951171875,222.3967437744141,1791400.0,0.006677143519027151,0.006654950133743398,483445109.2529297
2019-01-09,LMT,270.1300048828125,272.2200012207031,269.1300048828125,270.5400085449219,222.9489898681641,1235900.0,0.0024827266456333152,0.0024796497714740795,334360396.56066895
2019-01-10,LMT,269.6199951171875,277.67999267578125,269.5,277.5,228.6845550537109,1842500.0,0.02572629273027638,0.02540093994075221,511293750.0
2019-01-11,LMT,275.7900085449219,277.760009765625,272.42999267578125,277.7300109863281,228.87413024902344,1157800.0,0.0008288684192003792,0.0008285250974715552,321555806.7199707
2019-01-14,LMT,276.6700134277344,279.5199890136719,274.42999267578125,277.510009765625,228.69284057617188,1388600.0,-0.0007921406113866603,-0.0007924545205453271,385350399.5605469
2019-01-15,LMT,278.2300109863281,278.3299865722656,273.510009765625,276.0,227.44842529296875,1193500.0,-0.005441280359221312,-0.005456138046265657,329406000.0
2019-01-16,LMT,275.3999938964844,275.69000244140625,270.6300048828125,272.3900146484375,224.47352600097656,1324900.0,-0.013079657070878659,-0.01316594905773627,360889530.40771484
2019-01-17,LMT,271.1700134277344,279.989990234375,270.8399963378906,278.79998779296875,229.75588989257807,1242000.0,0.023532335253934722,0.023259718442767863,346269584.8388672
