Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn
Kronos-ZeroShot,1,2880,0.025431389877533305,0.042853985386931304,0.4732638888888889,0.0015793585799082422,-0.007585230790341504
Kronos-ZeroShot,5,2880,0.062104418168406755,0.09735125426974466,0.5138888888888888,0.004626902477480938,-0.025507478590169302
