Model,Horizon,MAE,RMSE,DirAcc,N
AutoETS,1,0.013282106444193293,0.021209527403352177,0.475,2880.0
AutoETS,5,0.029174421474577904,0.041799105581497804,0.4986111111111111,2880.0
AutoTheta,1,0.013419148681950967,0.02122503468356006,0.5065972222222223,2880.0
AutoTheta,5,0.029095066052357853,0.04172028400257375,0.553125,2880.0
Naive-RandomWalk,1,0.013275787121869363,0.02119344838201027,0.0,2880.0
Naive-RandomWalk,5,0.029199741231421328,0.041786760968784184,0.0,2880.0
