Model,Horizon,N,MAE,RMSE,DirectionalAccuracy,MeanActualReturn,MeanPredReturn
Chronos-ZeroShot,1,2880,0.01470826009574603,0.022709182371610563,0.4829861111111111,0.0015793585799082422,0.0022922062880963053
Chronos-ZeroShot,5,2880,0.029775536281019,0.04305885770590478,0.5364583333333334,0.004626902477480938,0.005183627490653745
