Date,Ticker,open,high,low,close,adj_close,volume
2019-01-02,INTU,191.5,195.80999755859375,191.11000061035156,194.47000122070312,184.6621551513672,1485600
2019-01-03,INTU,191.25,193.24000549316406,188.2100067138672,188.52000427246094,179.01226806640625,2015900
2019-01-04,INTU,191.80999755859375,198.27999877929688,189.75999450683594,196.0,186.1150665283203,1736400
2019-01-07,INTU,195.3300018310547,200.41000366210938,195.3300018310547,198.99000549316406,188.95419311523438,1175400
2019-01-08,INTU,200.8300018310547,203.86000061035156,198.0800018310547,203.75999450683594,193.483642578125,1654000
2019-01-09,INTU,204.05999755859375,205.0,200.33999633789062,202.66000366210938,192.8840789794922,1643200
2019-01-10,INTU,201.75,207.2899932861328,201.11000061035156,206.05999755859375,196.1200408935547,1507300
2019-01-11,INTU,205.44000244140625,207.0,204.05999755859375,206.14999389648438,196.20571899414062,1479600
2019-01-14,INTU,203.75,206.33999633789062,202.91000366210938,205.14999389648438,195.25390625,1058000
2019-01-15,INTU,205.3800048828125,210.25,205.3800048828125,209.80999755859375,199.6891632080078,1559900
2019-01-16,INTU,210.99000549316406,214.3800048828125,209.25,209.99000549316406,199.86044311523438,1340700
2019-01-17,INTU,208.50999450683594,212.11000061035156,208.50999450683594,211.72999572753906,201.5165252685547,1106400
2019-01-18,INTU,214.17999267578125,215.32000732421875,210.88999938964844,213.8699951171875,203.55328369140625,1623000
2019-01-22,INTU,212.83999633789062,215.82000732421875,210.8699951171875,212.33999633789062,202.09710693359375,1656500
2019-01-23,INTU,213.0,216.49000549316406,209.89999389648438,212.24000549316406,202.00189208984375,1454700
2019-01-24,INTU,212.33999633789062,213.57000732421875,210.27000427246094,212.16000366210938,201.92578125,966200
2019-01-25,INTU,214.60000610351562,215.50999450683594,212.75999450683594,214.3000030517578,203.9625244140625,1127500
2019-01-28,INTU,212.8300018310547,212.89999389648438,209.75,211.0500030517578,200.86929321289062,972500
2019-01-29,INTU,211.2100067138672,211.8699951171875,207.69000244140625,208.3300018310547,198.280517578125,995700
2019-01-30,INTU,209.72000122070312,214.64999389648438,209.60000610351562,214.10000610351562,203.77220153808594,1251400
2019-01-31,INTU,213.60000610351562,217.39999389648438,213.3000030517578,215.82000732421875,205.40921020507812,2792300
2019-02-01,INTU,215.74000549316406,216.86000061035156,212.6699981689453,214.4499969482422,204.10533142089844,1935000
2019-02-04,INTU,216.8800048828125,222.36000061035156,215.55999755859375,220.91000366210938,210.2537078857422,2256000
2019-02-05,INTU,221.42999267578125,225.47000122070312,221.19000244140625,224.49000549316406,213.6609649658203,1818200
2019-02-06,INTU,224.14999389648438,224.85000610351562,221.0800018310547,224.5800018310547,213.7466583251953,915900
2019-02-07,INTU,222.16000366210938,223.44000244140625,220.5,220.97000122070312,210.31080627441406,1166400
2019-02-08,INTU,219.30999755859375,224.91000366210938,218.8300018310547,224.8300018310547,213.9845733642578,1400600
